time,Ml,Ml_unc
1562281195,1.739995,0.192116
1562281225,1.423419,0.293237
1562281281,1.532509,0.338325
1562281293,2.448483,0.243056
1562281320,2.031679,0.247026
1562281350,1.735035,0.449574
1562281409,2.458007,0.243588
1562281474,1.47702,0.241256
1562281497,1.673988,0.213868
1562281510,2.048911,0.314244
1562281573,1.988333,0.127168
1562281580,2.360199,0.210124
1562281623,2.483648,0.695766
1562281631,2.856658,0.184378
1562281690,1.860044,0.296179
1562281715,1.836106,0.284477
1562281748,2.055201,0.265541
1562281769,2.079407,0.257261
1562281794,1.982198,0.310668
1562281825,1.673968,0.213599
1562281837,2.335094,0.162652
1562281915,1.042103,0.107662
1562281960,3.602056,0.428739
1562281985,3.380701,0.143288
1562282060,1.980426,0.245204
1562282073,2.644696,0.336563
1562282157,1.44808,0.212302
1562282181,1.947238,0.439668
1562282209,1.399184,0.233729
1562282240,1.883218,0.167275
1562282270,2.279688,0.330037
1562282305,1.773989,0.232898
1562282323,1.807295,0.09028
1562282441,1.49892,0.445922
1562282460,1.813464,0.304439
1562282468,2.285523,0.249081
1562282510,1.431075,0.242248
1562282540,1.810465,0.203744
1562282599,2.33663,0.261329
1562282638,1.729106,0.180245
1562282665,2.080495,0.28794
1562282724,1.619642,0.331715
1562282748,1.744248,0.215973
1562282775,1.506131,0.3134
1562282804,1.637171,0.071923
1562282829,1.63022,0.467069
1562282901,1.879741,0.235883
1562282917,1.801646,0.234323
1562282942,1.33632,0.135605
1562282954,1.660582,0.24959
1562282971,2.186236,0.369353
1562283053,1.675927,0.241957
1562283098,2.375448,0.44208
1562283104,2.253544,0.221672
1562283204,1.701449,0.269155
1562283240,4.10571,0.16336
1562283415,1.965355,0.18013
1562283459,1.669449,0.261297
1562283524,1.655203,0.182056
1562283550,2.241285,0.246129
1562283575,2.121096,0.241124
1562283599,1.994181,0.129346
1562283619,2.089434,0.230805
1562283667,1.459058,0.286111
1562283680,1.620364,0.306574
1562283753,3.870566,0.234406
1562283821,2.346399,0.246774
1562283835,2.234801,0.256227
1562283887,2.013549,0.259494
1562283923,1.715727,0.281919
1562283972,1.737237,0.264821
1562283992,2.028338,0.19279
1562284063,1.446189,0.428513
1562284079,2.052128,0.25991
1562284170,1.367568,0.288958
1562284201,1.982142,0.175015
1562284257,2.527993,0.407734
1562284336,1.09957,0.403908
1562284459,1.548927,0.369392
1562284469,3.372349,0.658197
1562284476,3.368331,0.1061
1562284553,1.936281,0.339128
1562284616,2.551352,0.248265
1562284714,1.317952,0.152268
1562284729,1.576389,0.301508
1562284751,1.334284,0.119356
1562284820,1.961996,0.272787
1562284862,1.916214,0.224713
1562284907,1.452334,0.181233
1562284941,1.422629,0.232401
1562284948,1.619052,0.150192
1562285023,1.865412,0.035015
1562285032,2.128406,0.228197
1562285086,1.926954,0.19283
1562285151,1.631654,0.358425
1562285164,1.767376,0.211865
1562285238,1.792882,0.205882
1562285303,1.453497,0.372953
1562285360,2.449754,0.318698
1562285421,1.846183,0.161543
1562285441,2.070037,0.337895
1562285498,1.977115,0.119543
